Collection Name	Collection Alias	Items Owned By	Ownership Confirmed	Collection Uploaded By	Upload Confirmed	Collection Currently Managed By	Management Confirmed	Primary Contact Name	Primary Contact Email	Size of Collection (GB)	Total Number of Items in Collection	Types of Files in Collection	"""Users"" that include the Collection"	Other Notes about Collection
Generic Collection Template (Dublin 2)	/DUBLIN2	???		N/A or LOUIS?	User list?						0		CDM\120701user23	Published, not listed. Empty collection.
Slavery, the Civil War, and Reconstruction	/p15140coll59	???		Tulane?	User list?						0		CDM\120701user15	Unpublished; unlisted.
Wiseman Photograph Collection	/WIS	???		LSU?	User list?						0		CDM\120701user04; CDM\120701user23	Unpublished; unlisted; no items.
Gulf South Decorative and Fine Arts Database	/p16313coll17	Classical Institute of the South; Historic New Orleans Collection; Louisiana State Museum; New Orleans Museum of Art; LSU Museum of Art; Historic Natchez Foundation	From Landing Page	HNOC	From Landing Page						8533		Blackmore_L; caeskr@gmail.com; mthurlow; phaygood; woynowski; CDM\120701user01; kentw@hnoc.org	
Alfred and William Waud Collection	/AWW	HNOC	From Landing Page								2732		CDM\120701user23; CDM\120701user01; kentw@hnoc.org	
Charles L. Franck and Franck-Bertacci	/CLF	HNOC	From Landing Page								10646		CDM\120701user01; kentw@hnoc.org; CDM\120701user23	Listed on collection list, but when selected, nothing comes up. [This has been corrected]
Historic New Orleans Collection	/HHN	HNOC	 [by Kent]								336		CDM\120701user01; kentw@hnoc.org; CDM\120701user01; CDM\120701user23	Unpublished; unlisted.
Painting in Louisiana from the Historic New Orleans Collection	/LPH	HNOC	From Landing Page								1737		CDM\120701user01; kentw@hnoc.org; CDM\120701user23	
John T. Mendes Photograph Collection	/p15140coll1	HNOC	From Landing Page								609		CDM\120701user01; kentw@hnoc.org; CDM\120701user23	
Maps from the Historic New Orleans Collection	/p15140coll28	HNOC	From Landing Page								122		CDM\120701user01; kentw@hnoc.org	
Jay Dearborn Edwards Photograph Collection	/p15140coll33	HNOC	User list? [by Kent]								0		CDM\120701user01; kentw@hnoc.org	Empty; unpublished; unlisted. [collection in progress]
Leon Trice Photograph Collection	/p15140coll43	HNOC	User list? [by Kent]								832		CDM\120701user01; kentw@hnoc.org	Unpublished; unlisted. [collection in progress]
Designing Carnival- Mardi Gras Costume and Float Designs	/p15140coll61	HNOC	User list? [by Kent]								76		CDM\120701user01; kentw@hnoc.org	Unpublished; unlisted. [collection in progress]
Clarence John Laughlin Photograph Collection	/p16313coll21	HNOC	From Landing Page								1592		CDM\120701user01; kentw@hnoc.org	
Louisiana Furniture Image Database	/p16313coll36	HNOC	User list? [by Kent]								12		CDM\120701user01; kentw@hnoc.org	Was this a test version of the collection? Can it be deleted? It is unpublished, unlisted, and only contains a small number of items. [No, collection in progress]
Louisiana Decoys and Wildfowl Artifacts	/p16313coll65	HNOC	From Landing Page								426		CDM\120701user01; kentw@hnoc.org	
Isidore Newman School Archives	/p120701coll29	Isidore Newman School	From Landing Page	UNO	From Landing Page	UNO and Newman school?	"From ""browse all"" page"				178		CDM\120701user17; CDM\120701user23	
Camp Ruston Collection	/CMPRT	La Tech?	From Item Metadata	CDM\120701user02; tarant@latech.edu	User list?	???					246		CDM\120701user02; tarant@latech.edu; CDM\120701user23	
Israel Shreve Letters	/p120701coll11	La Tech?	User list?								0		tarant@latech.edu; CDM\120701user23	Published, but empty collection.
Jack Ritchie Collection	/p16313coll70	La Tech?	User list?								0		tarant@latech.edu	Empty; unpublished; unlisted.
Louisiana Sea Grant Digital Images Collection	/p15140coll21	Louisiana Sea Grant	From Landing Page	LSU	From Landing Page						2262		CDM\120701user04	
Louisiana Sea Grant Digital Maps Collection	/p15140coll35	Louisiana Sea Grant	From Landing Page	LSU	From Landing Page						213		CDM\120701user04	
New Orleans Chamber of Commerce Photographs	/CCA	Louisiana State Museum	From contact info and metadata								982		CDM\120701user13; CDM\120701user23	Landing page not customized.
Louisiana State Museum	/HLM	Louisiana State Museum	Contact email, logical?								100		CDM\120701user13; CDM\120701user23	Published; unlisted
Louisiana State Museum Jazz Collection	/JAZ	Louisiana State Museum	Contact email, logical?								3501		CDM\120701user13; CDM\120701user23	
