Collection name	Owner	Size (GB)	Total	Compound Objects	BMP	DB	DOC	DOCM	DOCX	GIF	HTM	HTML	JP2	JPF	JPG	LNK	M4V	MHT	MOV	MP3	MP4	Null	PDF	PNG	RAM	RM	SID	TIF	TXT	URL	WAV	WMV	XLS	XLSX
Beachrock Research Slides of Richard J. Russell Collection	LSU	0.13	497	0	0	0	0	0	0	0	0	0	0	0	497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Louisiana Ecology and Conservation, The Percy Viosca Jr. Collection	LSU	1.15	1097	0	0	0	0	0	0	0	0	0	0	0	1096	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Louisiana images from the Standard Oil Collection, Univ. of Louisville	LSU	0.38	2136	0	0	0	0	0	0	0	0	0	2136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24th General Hospital in World War II	Tulane	0.64	134	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abe L. Shushan Collection	UNO	0.06	424	4	0	0	0	0	0	0	0	0	0	0	420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actors and Musicians Photographs, 1880-1920	LSU	0.01	192	64	0	0	0	0	0	0	0	0	4	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aleman Estate (Hathaway Gibbens) Collection	UNO	1.32	214	71	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alfred and William Waud Collection	HNOC	15.74	2732	4	0	0	0	0	0	0	0	0	2728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
America at War	TAHIL	0.57	1079	129	0	0	0	0	0	0	0	0	1	0	748	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0
America Between the Wars 1920-1940	TAHIL	0.03	153	6	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
American Missionary Association Photographs, 1839-1954	Tulane	0.36	3342	0	0	0	0	0	0	0	0	0	0	0	3342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amistad Research Center Oral History Collection	Tulane	0.4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Andrew Augustus Gunby Photograph Collection	ULM	0.76	419	30	0	0	0	0	0	0	0	0	389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Andrew D. Lytle's Baton Rouge' Photograph Collection	LSU	0.9	799	0	0	0	0	0	0	0	0	0	799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Antebellum Period	TAHIL	0.07	235	10	0	0	0	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0
Anthony J. Stanonis Pamphlet Collection	Loyola	0.29	34	1	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0
Archives of Cajun and Creole Folklore	ULL	0.08	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aristides Agramonte Yellow Fever Collection	LSUHSCNO	16.22	12058	136	0	0	0	0	0	0	0	0	11908	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0
Armand Duplantier Family Letters, LSU Libraries	LSU	2.34	655	95	0	0	0	0	0	0	0	0	370	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0
