	Collection name	Owner	Size (GB)	Total	Compound Objects	BMP	DB	DOC	DOCM	DOCX	GIF	HTM	HTML	JP2	JPF	JPG	LNK	M4V	MHT	MOV	MP3	MP4	Null	PDF	PNG	RAM	RM	SID	TIF	TXT	URL	WAV	WMV	XLS	XLSX
AAW	America at War	TAHIL	0.57	1079	129	0	0	0	0	0	0	0	0	1	0	748	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0
ABW	America Between the Wars 1920-1940	TAHIL	0.03	153	6	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
ACC	Archives of Cajun and Creole Folklore	ULL	0.08	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APC	Antebellum Period	TAHIL	0.07	235	10	0	0	0	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0
AWW	Alfred and William Waud Collection	HNOC	15.74	2732	4	0	0	0	0	0	0	0	0	2728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BBA	Baby Boom American Collection	TAHIL	0.01	36	5	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
BRS	Beachrock Research Slides of Richard J. Russell Collection	LSU	0.13	497	0	0	0	0	0	0	0	0	0	0	0	497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BTW	Ben Treadaway WWII Shell Beach Collection	Nunez Community College?	0.01	64	7	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCA	New Orleans Chamber of Commerce Photographs	Louisiana State Museum	0.07	982	0	0	0	0	0	0	0	0	0	0	0	982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLF	Charles L. Franck and Franck-Bertacci	HNOC	55.43	10646	0	0	0	0	0	0	0	0	0	10646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CMPRT	Camp Ruston Collection	La Tech	0.05	246	2	0	0	0	0	0	0	0	0	1	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRD	Colville River Delta, Alaska Collection	LSU	0	2142	0	0	0	0	0	0	2116	0	0	0	0	1	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0
CWD	Caroline Wogan Durieux Works of Art	LSU	0.97	232	0	0	0	0	0	0	0	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0
																																			
FBM	Frank B. Moore Collection	UNO	0.09	545	0	0	0	0	0	0	0	0	0	0	0	545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJC	Frances B. Johnston Photograph Collection	Louisiana State Museum	0.04	438	0	0	0	0	0	0	0	0	0	0	0	438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GFM	George Francois Mugnier Collection	Louisiana State Museum	0.1	1174	0	0	0	0	0	0	0	0	0	0	0	1174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HHN	Historic New Orleans Collection	HNOC	0.05	336	12	0	0	0	0	0	0	0	0	0	0	324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIC	Higgins Industries	UNO	2.14	639	0	0	0	0	0	0	0	0	0	639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
